career_label,skills,interests,career_goal,projects_done,education_branch,year_of_study,cgpa,has_internship,weakness,preferred_work,open_to_masters,combined_text
ML Engineer,"numpy, pytorch, python, tensorflow, nlp, model deployment, machine learning, deep learning, pandas",machine learning engineering,ml engineer,deployed ml api,Computer Science,3rd year,8.2,True,not confident in public speaking,"product company, remote",True,numpy pytorch python tensorflow nlp model deployment machine learning deep learning pandas machine learning engineering ml engineer deployed ml api computer science internship not confident in public speaking
QA Engineer,"sql, selenium, bug reporting, api testing, git, test cases, sdlc, manual testing",test automation,qa engineer,api testing suite,Computer Science,3rd year,6.1,False,weak in mathematics,"product company, remote",True,sql selenium bug reporting api testing git test cases sdlc manual testing test automation qa engineer api testing suite computer science no internship weak in mathematics
Embedded Systems Engineer,"linux, python, debugging, electronics, c++, communication protocols, c, microcontrollers, raspberry pi",firmware development,robotics engineer,smart irrigation system,Electronics and Communication,2nd year,8.6,True,not confident in interviews,fintech startup,True,linux python debugging electronics c++ communication protocols c microcontrollers raspberry pi firmware development robotics engineer smart irrigation system electronics and communication internship not confident in interviews
Mobile Developer,"flutter, mobile ui, java, dart, rest api, git, kotlin, android",mobile app development,android developer,food delivery app,Computer Science,3rd year,7.8,True,not good at system design,research organization,True,flutter mobile ui java dart rest api git kotlin android mobile app development android developer food delivery app computer science internship not good at system design
Data Analyst,"tableau, sql, data visualization, python, statistics, power bi, looker, pandas",insight generation,reporting analyst,power bi report,Mathematics,4th year,8.1,True,weak in networking concepts,startup environment,True,tableau sql data visualization python statistics power bi looker pandas insight generation reporting analyst power bi report mathematics internship weak in networking concepts
Business Analyst,"tableau, requirement gathering, sql, uml, excel, agile, power bi, data analysis, process mapping, communication, documentation",project management,product analyst,process flow diagram,Commerce,1st year,8.4,False,not good at system design,service company,False,tableau requirement gathering sql uml excel agile power bi data analysis process mapping communication documentation project management product analyst process flow diagram commerce no internship not good at system design
DevOps Engineer,"linux, ci/cd, networking basics, docker, git, kubernetes, jenkins, aws",devops,infrastructure engineer,ci/cd pipeline setup,Electronics and Communication,4th year,7.3,True,not good at system design,mnc with good work life balance,False,linux ci/cd networking basics docker git kubernetes jenkins aws devops infrastructure engineer ci/cd pipeline setup electronics and communication internship not good at system design
QA Engineer,"sql, performance testing, bug reporting, ci/cd, api testing, test cases, sdlc, manual testing",software testing,qa engineer,test automation framework,Information Technology,3rd year,9.9,True,need to improve problem solving speed,research organization,True,sql performance testing bug reporting ci/cd api testing test cases sdlc manual testing software testing qa engineer test automation framework information technology internship need to improve problem solving speed
Cybersecurity Analyst,"linux, sql, networking, firewalls, ethical hacking, siem tools",penetration testing,information security analyst,firewall configuration,Electronics and Communication,3rd year,8.3,False,need to improve debugging skills,edtech company,False,linux sql networking firewalls ethical hacking siem tools penetration testing information security analyst firewall configuration electronics and communication no internship need to improve debugging skills
Business Analyst,"tableau, sql, python basics, excel, power bi, agile, data analysis, documentation",requirement analysis,business analyst,process flow diagram,Information Technology,1st year,7.3,False,limited knowledge of cloud platforms,service company,True,tableau sql python basics excel power bi agile data analysis documentation requirement analysis business analyst process flow diagram information technology no internship limited knowledge of cloud platforms
Software Engineer,"data structures, linux, object oriented programming, python, c++, problem solving, algorithms, unit testing, git, java, system design",open source,work at a tech startup,task manager app,Computer Science,4th year,8.4,False,limited knowledge of cloud platforms,fintech startup,False,data structures linux object oriented programming python c++ problem solving algorithms unit testing git java system design open source work at a tech startup task manager app computer science no internship limited knowledge of cloud platforms
Cloud Engineer,"azure, python, networking, docker, aws",cloud architecture,cloud developer,multi-region architecture,Computer Science,3rd year,7.2,True,weak in mathematics,edtech company,True,azure python networking docker aws cloud architecture cloud developer multi-region architecture computer science internship weak in mathematics
Business Analyst,"sql, uml, requirement gathering, excel, power bi, data analysis, communication",business analysis,requirements analyst,process flow diagram,Computer Science,2nd year,6.9,False,need to improve debugging skills,edtech company,False,sql uml requirement gathering excel power bi data analysis communication business analysis requirements analyst process flow diagram computer science no internship need to improve debugging skills
UI/UX Designer,"figma, color theory, design thinking, user research",product design,user experience designer,app redesign case study,Design,final year,7.5,False,weak in mathematics,mnc with good work life balance,True,figma color theory design thinking user research product design user experience designer app redesign case study design no internship weak in mathematics
Embedded Systems Engineer,"assembly, python, debugging, electronics, c++, communication protocols, arduino, iot, c, microcontrollers, rtos, raspberry pi",robotics,hardware software engineer,smart irrigation system,Electronics and Communication,1st year,8.6,True,not confident in interviews,edtech company,False,assembly python debugging electronics c++ communication protocols arduino iot c microcontrollers rtos raspberry pi robotics hardware software engineer smart irrigation system electronics and communication internship not confident in interviews
Backend Engineer,"rest api, sql, java, node.js",databases,api developer,blog api,Information Technology,2nd year,7.6,False,weak in networking concepts,edtech company,False,rest api sql java node.js databases api developer blog api information technology no internship weak in networking concepts
Data Scientist,"numpy, tableau, data visualization, python, tensorflow, machine learning, deep learning, feature engineering",predictive modeling,applied scientist,customer churn prediction,Information Technology,final year,6.5,False,need to work on time management,research organization,False,numpy tableau data visualization python tensorflow machine learning deep learning feature engineering predictive modeling applied scientist customer churn prediction information technology no internship need to work on time management
Mobile Developer,"flutter, push notifications, mobile ui, rest api, git, react native, java",flutter development,flutter developer,notes app,Information Technology,2nd year,8.7,True,weak in statistics,research organization,True,flutter push notifications mobile ui rest api git react native java flutter development flutter developer notes app information technology internship weak in statistics
UI/UX Designer,"figma, user research, color theory, wireframing, typography, prototyping",user experience,ui/ux designer,app redesign case study,Arts,3rd year,8.2,False,not confident in interviews,research organization,False,figma user research color theory wireframing typography prototyping user experience ui/ux designer app redesign case study arts no internship not confident in interviews
UI/UX Designer,"typography, user research, color theory, wireframing, design thinking, prototyping",ui design,user experience designer,e-commerce ux design,Design,2nd year,7.2,True,need to work on time management,remote job,False,typography user research color theory wireframing design thinking prototyping ui design user experience designer e-commerce ux design design internship need to work on time management
Data Scientist,"pytorch, sql, data visualization, statistics, spark, machine learning, deep learning, feature engineering, pandas",statistics,data scientist,customer churn prediction,Information Technology,final year,8.1,False,need to improve problem solving speed,service company,True,pytorch sql data visualization statistics spark machine learning deep learning feature engineering pandas statistics data scientist customer churn prediction information technology no internship need to improve problem solving speed
Software Engineer,"git, object oriented programming, python, java",software development,software developer,student result portal,Information Technology,1st year,7.2,False,weak in mathematics,fintech startup,False,git object oriented programming python java software development software developer student result portal information technology no internship weak in mathematics
Data Analyst,"tableau, sql, data visualization, python, statistics, machine learning basics",reporting,data analyst,power bi report,Business Administration,final year,8.2,True,lack of real-world project experience,mnc with good work life balance,True,tableau sql data visualization python statistics machine learning basics reporting data analyst power bi report business administration internship lack of real-world project experience
Mobile Developer,"push notifications, mobile ui, android, dart, ios, git, firebase, kotlin, sqlite, java",cross platform apps,android developer,food delivery app,Information Technology,4th year,6.8,False,not confident in interviews,mnc with good work life balance,True,push notifications mobile ui android dart ios git firebase kotlin sqlite java cross platform apps android developer food delivery app information technology no internship not confident in interviews
UI/UX Designer,"user research, color theory, invision, design thinking, typography, prototyping",user experience,ui/ux designer,user research report,Design,1st year,10.0,False,need to improve communication skills,"product company, remote",False,user research color theory invision design thinking typography prototyping user experience ui/ux designer user research report design no internship need to improve communication skills
Embedded Systems Engineer,"raspberry pi, debugging, electronics, matlab, iot, c, microcontrollers, rtos, c++",iot,embedded systems engineer,smart irrigation system,Computer Science,2nd year,7.4,False,limited knowledge of cloud platforms,"product company, remote",False,raspberry pi debugging electronics matlab iot c microcontrollers rtos c++ iot embedded systems engineer smart irrigation system computer science no internship limited knowledge of cloud platforms
Software Engineer,"data structures, python, design patterns, problem solving, java",coding challenges,software engineer at a top product company,ecommerce website,Computer Science,1st year,6.4,False,weak in networking concepts,research organization,True,data structures python design patterns problem solving java coding challenges software engineer at a top product company ecommerce website computer science no internship weak in networking concepts
Software Engineer,"data structures, object oriented programming, design patterns, algorithms, rest api, git, unit testing, java",coding challenges,software engineer at a top product company,chat application,Computer Science,4th year,9.0,False,not confident in interviews,remote job,True,data structures object oriented programming design patterns algorithms rest api git unit testing java coding challenges software engineer at a top product company chat application computer science no internship not confident in interviews
QA Engineer,"sql, performance testing, postman, bug reporting, ci/cd, git, test cases, sdlc",test automation,software tester,bug tracking report,Software Engineering,final year,6.1,True,need to work on time management,service company,True,sql performance testing postman bug reporting ci/cd git test cases sdlc test automation software tester bug tracking report software engineering internship need to work on time management
Cybersecurity Analyst,"linux, cloud security, networking, firewalls, compliance, security fundamentals, ethical hacking, cryptography, siem tools",network security,penetration tester,penetration testing report,Information Technology,2nd year,8.1,True,need to improve communication skills,fintech startup,True,linux cloud security networking firewalls compliance security fundamentals ethical hacking cryptography siem tools network security penetration tester penetration testing report information technology internship need to improve communication skills
QA Engineer,"sql, selenium, bug reporting, automation testing, api testing, git, jmeter, sdlc, manual testing",api testing,qa engineer,api testing suite,Software Engineering,1st year,8.0,True,limited knowledge of cloud platforms,fintech startup,True,sql selenium bug reporting automation testing api testing git jmeter sdlc manual testing api testing qa engineer api testing suite software engineering internship limited knowledge of cloud platforms
Data Analyst,"tableau, sql, data visualization, excel, python, statistics, google analytics, power bi, pivot tables, machine learning basics, pandas",reporting,reporting analyst,sql analytics project,Commerce,4th year,7.0,True,lack of real-world project experience,startup environment,True,tableau sql data visualization excel python statistics google analytics power bi pivot tables machine learning basics pandas reporting reporting analyst sql analytics project commerce internship lack of real-world project experience
Cybersecurity Analyst,"security fundamentals, sql, cryptography, ethical hacking",ethical hacking,ethical hacker,ctf writeups,Information Technology,final year,7.3,False,weak in networking concepts,"product company, remote",False,security fundamentals sql cryptography ethical hacking ethical hacking ethical hacker ctf writeups information technology no internship weak in networking concepts
Backend Engineer,"data structures, python, redis, message queues, databases, node.js, java",backend development,backend engineer at a product company,authentication service,Information Technology,3rd year,8.6,False,not good at system design,research organization,True,data structures python redis message queues databases node.js java backend development backend engineer at a product company authentication service information technology no internship not good at system design
Frontend Developer,"react, responsive design, css, html, git, javascript",web animations,react developer,todo app,Information Technology,1st year,6.6,True,limited knowledge of cloud platforms,service company,True,react responsive design css html git javascript web animations react developer todo app information technology internship limited knowledge of cloud platforms
Software Engineer,"data structures, c++, agile, design patterns, algorithms, git, java",coding challenges,work at a tech startup,student result portal,Computer Science,2nd year,6.7,False,need to improve problem solving speed,fintech startup,False,data structures c++ agile design patterns algorithms git java coding challenges work at a tech startup student result portal computer science no internship need to improve problem solving speed
Cloud Engineer,"linux, azure, python, docker, git, aws, storage services",cloud native development,aws engineer,multi-region architecture,Computer Science,2nd year,7.7,False,need to improve problem solving speed,research organization,False,linux azure python docker git aws storage services cloud native development aws engineer multi-region architecture computer science no internship need to improve problem solving speed
QA Engineer,"sql, python, bug reporting, ci/cd, api testing, git, jmeter, test cases, sdlc, manual testing",performance testing,qa engineer,bug tracking report,Software Engineering,1st year,6.3,False,limited knowledge of cloud platforms,mnc with good work life balance,True,sql python bug reporting ci/cd api testing git jmeter test cases sdlc manual testing performance testing qa engineer bug tracking report software engineering no internship limited knowledge of cloud platforms
Backend Engineer,"data structures, sql, python, redis, mongodb, docker, node.js, aws, java",api design,api developer,authentication service,Computer Science,3rd year,8.9,True,weak in networking concepts,"product company, remote",True,data structures sql python redis mongodb docker node.js aws java api design api developer authentication service computer science internship weak in networking concepts
Backend Engineer,"data structures, microservices, databases, git, rest api, node.js, aws, java, system design",backend development,api developer,authentication service,Computer Science,4th year,9.1,False,need to improve communication skills,service company,False,data structures microservices databases git rest api node.js aws java system design backend development api developer authentication service computer science no internship need to improve communication skills
Data Analyst,"tableau, sql, data visualization, excel, python, statistics, google analytics, power bi",dashboards,business analyst,customer behavior analysis,Mathematics,2nd year,9.7,False,weak in networking concepts,"product company, remote",True,tableau sql data visualization excel python statistics google analytics power bi dashboards business analyst customer behavior analysis mathematics no internship weak in networking concepts
Cybersecurity Analyst,"linux, sql, networking, ethical hacking, security fundamentals, cryptography, wireshark",ethical hacking,security engineer,ctf writeups,Computer Science,2nd year,7.2,False,lack of real-world project experience,edtech company,False,linux sql networking ethical hacking security fundamentals cryptography wireshark ethical hacking security engineer ctf writeups computer science no internship lack of real-world project experience
ML Engineer,"numpy, pytorch, python, tensorflow, nlp, machine learning, deep learning, data pipelines",neural networks,deep learning engineer,nlp pipeline,Information Technology,final year,9.7,False,not confident in interviews,startup environment,False,numpy pytorch python tensorflow nlp machine learning deep learning data pipelines neural networks deep learning engineer nlp pipeline information technology no internship not confident in interviews
Cybersecurity Analyst,"linux, sql, networking, firewalls, security fundamentals, ethical hacking, cryptography",network security,penetration tester,ctf writeups,Computer Science,3rd year,8.6,False,weak in statistics,mnc with good work life balance,True,linux sql networking firewalls security fundamentals ethical hacking cryptography network security penetration tester ctf writeups computer science no internship weak in statistics
QA Engineer,"sql, selenium, python, performance testing, bug reporting, automation testing, api testing, git, test cases, sdlc",quality assurance,sdet,api testing suite,Computer Science,3rd year,7.3,True,need to improve debugging skills,remote job,False,sql selenium python performance testing bug reporting automation testing api testing git test cases sdlc quality assurance sdet api testing suite computer science internship need to improve debugging skills
Frontend Developer,"react, figma, responsive design, css, typescript, git, html",web design,frontend engineer,landing page,Computer Science,1st year,9.4,False,weak in mathematics,remote job,False,react figma responsive design css typescript git html web design frontend engineer landing page computer science no internship weak in mathematics
Full Stack Developer,"react, sql, css, rest api, git, node.js, javascript",end to end development,mern stack developer,social media clone,Information Technology,final year,8.5,True,not confident in interviews,edtech company,True,react sql css rest api git node.js javascript end to end development mern stack developer social media clone information technology internship not confident in interviews
DevOps Engineer,"linux, azure, shell scripting, ci/cd, networking basics, docker, git, prometheus, gcp, kubernetes, aws",cloud computing,infrastructure engineer,kubernetes cluster,Information Technology,4th year,6.2,True,weak in statistics,startup environment,False,linux azure shell scripting ci/cd networking basics docker git prometheus gcp kubernetes aws cloud computing infrastructure engineer kubernetes cluster information technology internship weak in statistics
Software Engineer,"object oriented programming, python, c++, design patterns, algorithms, rest api, git, java, system design",open source,backend developer,ecommerce website,Computer Science,2nd year,6.2,False,weak in statistics,service company,False,object oriented programming python c++ design patterns algorithms rest api git java system design open source backend developer ecommerce website computer science no internship weak in statistics
Business Analyst,"uml, sql, excel, power bi, stakeholder management, agile, communication, documentation",process improvement,requirements analyst,business requirement document,Information Technology,final year,8.3,False,not good at system design,startup environment,False,uml sql excel power bi stakeholder management agile communication documentation process improvement requirements analyst business requirement document information technology no internship not good at system design
Cloud Engineer,"azure, networking, monitoring, docker, gcp, aws, storage services",cloud native development,aws engineer,serverless api on lambda,Information Technology,4th year,9.9,True,not confident in interviews,edtech company,False,azure networking monitoring docker gcp aws storage services cloud native development aws engineer serverless api on lambda information technology internship not confident in interviews
Cloud Engineer,"linux, azure, terraform, python, networking, docker, git, aws, storage services",infrastructure,azure engineer,aws s3 file storage app,Computer Science,2nd year,8.8,False,not good at system design,research organization,False,linux azure terraform python networking docker git aws storage services infrastructure azure engineer aws s3 file storage app computer science no internship not good at system design
Cybersecurity Analyst,"linux, cloud security, sql, firewalls, security fundamentals, ethical hacking, cryptography, wireshark, penetration testing",penetration testing,ethical hacker,firewall configuration,Electronics and Communication,3rd year,8.6,False,need to work on time management,research organization,True,linux cloud security sql firewalls security fundamentals ethical hacking cryptography wireshark penetration testing penetration testing ethical hacker firewall configuration electronics and communication no internship need to work on time management
Full Stack Developer,"react, sql, mongodb, css, docker, rest api, git, html",end to end development,full stack engineer,job portal,Information Technology,1st year,8.8,True,weak in mathematics,edtech company,False,react sql mongodb css docker rest api git html end to end development full stack engineer job portal information technology internship weak in mathematics
Data Analyst,"excel, power bi, python, statistics",data analysis,reporting analyst,power bi report,Commerce,2nd year,8.7,False,not good at system design,"product company, remote",True,excel power bi python statistics data analysis reporting analyst power bi report commerce no internship not good at system design
UI/UX Designer,"figma, html css basics, user research, color theory, wireframing, design thinking, typography, prototyping",product design,interaction designer,user research report,Information Technology,final year,6.7,False,not good at system design,service company,True,figma html css basics user research color theory wireframing design thinking typography prototyping product design interaction designer user research report information technology no internship not good at system design
Data Scientist,"numpy, tableau, sql, data visualization, python, statistics, nlp, pandas",artificial intelligence,data science engineer,house price prediction,Mathematics,1st year,7.4,True,weak in networking concepts,fintech startup,False,numpy tableau sql data visualization python statistics nlp pandas artificial intelligence data science engineer house price prediction mathematics internship weak in networking concepts
ML Engineer,"numpy, pytorch, deep learning, model deployment",neural networks,ai engineer,real-time inference system,Mathematics,3rd year,6.9,True,need to work on time management,startup environment,True,numpy pytorch deep learning model deployment neural networks ai engineer real-time inference system mathematics internship need to work on time management
Backend Engineer,"data structures, sql, python, mongodb, message queues, docker, rest api, git, databases, node.js, aws, java",distributed systems,backend engineer at a product company,inventory management api,Computer Science,1st year,9.6,True,not confident in public speaking,fintech startup,True,data structures sql python mongodb message queues docker rest api git databases node.js aws java distributed systems backend engineer at a product company inventory management api computer science internship not confident in public speaking
ML Engineer,"numpy, pytorch, python, mlops, tensorflow, nlp, model deployment, machine learning, deep learning, aws sagemaker, pandas",mlops,deep learning engineer,deployed ml api,Artificial Intelligence,3rd year,8.3,False,need to improve problem solving speed,service company,False,numpy pytorch python mlops tensorflow nlp model deployment machine learning deep learning aws sagemaker pandas mlops deep learning engineer deployed ml api artificial intelligence no internship need to improve problem solving speed
Data Analyst,"tableau, sql, google analytics, excel, python, dashboard design, etl, pandas",data analysis,data analyst,sales dashboard,Commerce,3rd year,7.9,True,need to improve problem solving speed,service company,False,tableau sql google analytics excel python dashboard design etl pandas data analysis data analyst sales dashboard commerce internship need to improve problem solving speed
Full Stack Developer,"react, sql, redis, mongodb, css, html, nextjs, rest api, git, node.js, aws, javascript",full stack development,mern stack developer,social media clone,Information Technology,4th year,8.8,False,need to improve communication skills,mnc with good work life balance,False,react sql redis mongodb css html nextjs rest api git node.js aws javascript full stack development mern stack developer social media clone information technology no internship need to improve communication skills
Full Stack Developer,"react, sql, javascript, figma, mongodb, rest api, git, node.js, aws, html",full stack development,mern stack developer,full stack ecommerce app,Computer Science,final year,7.7,False,need to work on time management,"product company, remote",True,react sql javascript figma mongodb rest api git node.js aws html full stack development mern stack developer full stack ecommerce app computer science no internship need to work on time management
ML Engineer,"pytorch, mlops, tensorflow, model deployment, machine learning, docker",machine learning engineering,ai engineer,deployed ml api,Computer Science,1st year,7.3,False,need to improve problem solving speed,research organization,True,pytorch mlops tensorflow model deployment machine learning docker machine learning engineering ai engineer deployed ml api computer science no internship need to improve problem solving speed
QA Engineer,"python, bug reporting, api testing, git, test cases, sdlc, manual testing",bug hunting,software tester,test automation framework,Software Engineering,3rd year,9.5,True,weak in mathematics,research organization,False,python bug reporting api testing git test cases sdlc manual testing bug hunting software tester test automation framework software engineering internship weak in mathematics
Software Engineer,"design patterns, agile, problem solving, algorithms, rest api, git, java",software development,work at a tech startup,ecommerce website,Software Engineering,3rd year,6.5,True,not good at system design,edtech company,False,design patterns agile problem solving algorithms rest api git java software development work at a tech startup ecommerce website software engineering internship not good at system design
DevOps Engineer,"azure, shell scripting, grafana, ci/cd, monitoring, git, kubernetes, jenkins, aws",devops,site reliability engineer,infrastructure as code,Information Technology,2nd year,7.6,False,not confident in public speaking,startup environment,True,azure shell scripting grafana ci/cd monitoring git kubernetes jenkins aws devops site reliability engineer infrastructure as code information technology no internship not confident in public speaking
Frontend Developer,"react, responsive design, nextjs, git, html",web design,react developer,dashboard ui,Information Technology,1st year,6.5,False,weak in statistics,startup environment,True,react responsive design nextjs git html web design react developer dashboard ui information technology no internship weak in statistics
Data Scientist,"numpy, sql, data visualization, python, statistics, machine learning, probability, pandas",machine learning,applied scientist,movie recommendation system,Electronics,2nd year,8.3,False,need to improve problem solving speed,mnc with good work life balance,True,numpy sql data visualization python statistics machine learning probability pandas machine learning applied scientist movie recommendation system electronics no internship need to improve problem solving speed
Backend Engineer,"data structures, sql, python, mongodb, message queues, rest api, databases, git, node.js, java",api design,backend developer,authentication service,Information Technology,final year,8.3,True,weak in networking concepts,startup environment,True,data structures sql python mongodb message queues rest api databases git node.js java api design backend developer authentication service information technology internship weak in networking concepts
Embedded Systems Engineer,"python, debugging, electronics, raspberry pi, arduino, iot, c, microcontrollers, c++",electronics,firmware engineer,smart irrigation system,Electronics and Communication,3rd year,9.3,False,need to improve problem solving speed,remote job,False,python debugging electronics raspberry pi arduino iot c microcontrollers c++ electronics firmware engineer smart irrigation system electronics and communication no internship need to improve problem solving speed
UI/UX Designer,"color theory, wireframing, typography, design thinking",visual design,product designer,app redesign case study,Arts,final year,8.5,False,need to improve problem solving speed,service company,False,color theory wireframing typography design thinking visual design product designer app redesign case study arts no internship need to improve problem solving speed
QA Engineer,"sql, performance testing, bug reporting, test cases, manual testing",quality assurance,test automation engineer,performance test report,Software Engineering,3rd year,7.8,False,not confident in interviews,remote job,False,sql performance testing bug reporting test cases manual testing quality assurance test automation engineer performance test report software engineering no internship not confident in interviews
Backend Engineer,"data structures, git, python, java",backend development,backend engineer at a product company,inventory management api,Software Engineering,final year,9.0,False,not confident in interviews,edtech company,True,data structures git python java backend development backend engineer at a product company inventory management api software engineering no internship not confident in interviews
Embedded Systems Engineer,"assembly, python, debugging, electronics, communication protocols, matlab, rtos, c++",embedded systems,robotics engineer,smart irrigation system,Electronics and Communication,1st year,9.6,False,need to improve communication skills,service company,False,assembly python debugging electronics communication protocols matlab rtos c++ embedded systems robotics engineer smart irrigation system electronics and communication no internship need to improve communication skills
Data Scientist,"pytorch, data visualization, python, statistics, probability, feature engineering",predictive modeling,machine learning practitioner,sentiment analysis,Information Technology,3rd year,7.1,False,lack of real-world project experience,"product company, remote",False,pytorch data visualization python statistics probability feature engineering predictive modeling machine learning practitioner sentiment analysis information technology no internship lack of real-world project experience
Data Scientist,"pytorch, sql, python, tensorflow, spark, machine learning, deep learning, probability, pandas",artificial intelligence,machine learning practitioner,customer churn prediction,Information Technology,2nd year,9.8,False,lack of real-world project experience,mnc with good work life balance,True,pytorch sql python tensorflow spark machine learning deep learning probability pandas artificial intelligence machine learning practitioner customer churn prediction information technology no internship lack of real-world project experience
Mobile Developer,"flutter, mobile ui, dart, git, kotlin, java",ios development,ios developer,e-learning app,Computer Science,final year,9.6,False,weak in networking concepts,mnc with good work life balance,False,flutter mobile ui dart git kotlin java ios development ios developer e-learning app computer science no internship weak in networking concepts
Software Engineer,"data structures, object oriented programming, java, problem solving",open source,sde at faang,ecommerce website,Computer Science,3rd year,8.6,True,need to work on time management,mnc with good work life balance,True,data structures object oriented programming java problem solving open source sde at faang ecommerce website computer science internship need to work on time management
Mobile Developer,"kotlin, mobile ui, android, flutter",mobile app development,android developer,weather app flutter,Information Technology,3rd year,9.5,False,weak in networking concepts,mnc with good work life balance,False,kotlin mobile ui android flutter mobile app development android developer weather app flutter information technology no internship weak in networking concepts
Mobile Developer,"flutter, push notifications, mobile ui, android, ios, git, kotlin, sqlite, java",flutter development,mobile app developer,expense tracker,Information Technology,1st year,9.6,False,need to improve debugging skills,mnc with good work life balance,True,flutter push notifications mobile ui android ios git kotlin sqlite java flutter development mobile app developer expense tracker information technology no internship need to improve debugging skills
Frontend Developer,"vue, responsive design, css, html, redux, nextjs, rest api, git, javascript",web animations,ui developer,todo app,Computer Science,4th year,7.6,False,lack of real-world project experience,fintech startup,True,vue responsive design css html redux nextjs rest api git javascript web animations ui developer todo app computer science no internship lack of real-world project experience
Mobile Developer,"flutter, mobile ui, android, dart, ios, git, kotlin, java",flutter development,ios developer,expense tracker,Computer Science,1st year,7.1,False,not good at system design,"product company, remote",True,flutter mobile ui android dart ios git kotlin java flutter development ios developer expense tracker computer science no internship not good at system design
UI/UX Designer,"usability testing, figma, user research, accessibility, wireframing, color theory, design thinking, typography, prototyping",visual design,user experience designer,website wireframes,Design,2nd year,8.9,True,weak in statistics,remote job,True,usability testing figma user research accessibility wireframing color theory design thinking typography prototyping visual design user experience designer website wireframes design internship weak in statistics
QA Engineer,"bug reporting, api testing, git, test cases, manual testing",api testing,qa engineer,performance test report,Information Technology,1st year,6.3,False,not confident in public speaking,fintech startup,True,bug reporting api testing git test cases manual testing api testing qa engineer performance test report information technology no internship not confident in public speaking
Data Scientist,"numpy, sql, data visualization, python, statistics, nlp, tensorflow, spark, machine learning, deep learning, probability, pandas",data analysis,data science engineer,stock price forecasting,Electronics,1st year,9.9,False,need to improve problem solving speed,edtech company,False,numpy sql data visualization python statistics nlp tensorflow spark machine learning deep learning probability pandas data analysis data science engineer stock price forecasting electronics no internship need to improve problem solving speed
QA Engineer,"sql, performance testing, postman, automation testing, api testing, git, test cases, sdlc, manual testing",bug hunting,qa engineer,performance test report,Computer Science,4th year,8.8,False,not confident in public speaking,fintech startup,False,sql performance testing postman automation testing api testing git test cases sdlc manual testing bug hunting qa engineer performance test report computer science no internship not confident in public speaking
Frontend Developer,"react, responsive design, css, html, redux, typescript, git, javascript",building user interfaces,react developer,dashboard ui,Computer Science,4th year,7.3,False,not confident in interviews,"product company, remote",False,react responsive design css html redux typescript git javascript building user interfaces react developer dashboard ui computer science no internship not confident in interviews
Data Analyst,"tableau, excel, python, power bi, machine learning basics",data visualization,data analyst,customer behavior analysis,Business Administration,1st year,7.8,True,weak in networking concepts,service company,False,tableau excel python power bi machine learning basics data visualization data analyst customer behavior analysis business administration internship weak in networking concepts
Data Analyst,"tableau, sql, data visualization, excel, python, statistics, dashboard design, google analytics, power bi, etl, pandas",reporting,insights analyst,sql analytics project,Computer Science,2nd year,6.5,False,not good at system design,startup environment,True,tableau sql data visualization excel python statistics dashboard design google analytics power bi etl pandas reporting insights analyst sql analytics project computer science no internship not good at system design
ML Engineer,"numpy, nlp, model deployment, machine learning, deep learning",production ml systems,ml engineer,image recognition model,Mathematics,4th year,7.2,False,not confident in public speaking,mnc with good work life balance,True,numpy nlp model deployment machine learning deep learning production ml systems ml engineer image recognition model mathematics no internship not confident in public speaking
Full Stack Developer,"react, sql, css, rest api, git, typescript, aws, javascript",full stack development,full stack engineer,full stack ecommerce app,Information Technology,2nd year,6.4,False,limited knowledge of cloud platforms,"product company, remote",False,react sql css rest api git typescript aws javascript full stack development full stack engineer full stack ecommerce app information technology no internship limited knowledge of cloud platforms
Cloud Engineer,"linux, azure, python, networking, monitoring, serverless, kubernetes, aws",cloud native development,cloud engineer,cloud deployment pipeline,Electronics and Communication,2nd year,8.5,False,limited knowledge of cloud platforms,edtech company,False,linux azure python networking monitoring serverless kubernetes aws cloud native development cloud engineer cloud deployment pipeline electronics and communication no internship limited knowledge of cloud platforms
Backend Engineer,"data structures, sql, python, mongodb, rest api, databases, git, node.js, java, system design",api design,backend engineer at a product company,rest api backend,Information Technology,3rd year,9.6,False,weak in mathematics,research organization,True,data structures sql python mongodb rest api databases git node.js java system design api design backend engineer at a product company rest api backend information technology no internship weak in mathematics
Full Stack Developer,"react, sql, css, rest api, html",end to end development,web application developer,job portal,Information Technology,final year,10.0,False,lack of real-world project experience,research organization,False,react sql css rest api html end to end development web application developer job portal information technology no internship lack of real-world project experience
Cybersecurity Analyst,"linux, sql, python, networking, security fundamentals, cryptography",penetration testing,cybersecurity analyst,ctf writeups,Electronics and Communication,3rd year,6.3,False,need to improve debugging skills,startup environment,False,linux sql python networking security fundamentals cryptography penetration testing cybersecurity analyst ctf writeups electronics and communication no internship need to improve debugging skills
ML Engineer,"pytorch, python, mlops, tensorflow, nlp, spark, model deployment, machine learning, deep learning, fastapi",deep learning,deep learning engineer,recommendation engine,Artificial Intelligence,2nd year,6.6,False,weak in mathematics,service company,False,pytorch python mlops tensorflow nlp spark model deployment machine learning deep learning fastapi deep learning deep learning engineer recommendation engine artificial intelligence no internship weak in mathematics
Data Scientist,"numpy, python, machine learning, statistics",machine learning,data science engineer,image classifier,Information Technology,2nd year,6.7,True,limited knowledge of cloud platforms,mnc with good work life balance,True,numpy python machine learning statistics machine learning data science engineer image classifier information technology internship limited knowledge of cloud platforms
